chat_id,assume_payment,negotiate
b2U5dTQ,1,1
VM56dDK,0,N/A
NB8991B,1,0
4pGA55P,0,N/A
t2fWIi4,0,N/A
28rAlCP,1,0
LSZ36RmL3T,1,0
AhSNmyK,1,0
8yVIe20,1,1
8A1VjuR,1,0
AM4tYkzzr0,0,N/A
Udyo3N0,1,0
8VRa9RN,0,N/A
u90Mw5x5U7,1,1
2DX93ryNi2,1,0
00gjKL3,1,1
IABqrAmLYp,0,N/A
w9755m0,1,1
Rsxqo81,1,0
LjnV14xGu2,1,0
fQ3L5PeI43,0,N/A
iC62OZK,0,N/A
8Jn8e1nBI6,0,N/A
0d14C92,1,0
a2721Z0,0,N/A
IQwLUqS,1,0
0t2x8oln77,1,N/A
hgLL22K,1,0
c535k25,1,1
K126P2lM4w,1,1
xWJ4MiN,0,N/A
6Rl2K3xBl0,1,0
kDBGPeJ,1,1
VSCb980,1,0
2FGv08P,1,1
B99oN1Y,0,N/A
5NNCbtF,1,0
aHd7u35,1,0
3Q38qB8,0,N/A
8uu8CiqivD,1,1
Hett08p767,1,1
I91DX6N,1,1
7PWugPR,0,N/A
LDYg8en665,0,N/A
9qLo769,1,0
NjKLEe0,1,N/A
7jK3SWoZY3,1,N/A
Lni4u9nkA3,1,N/A
e7HE7r2,0,N/A
mmGIT3M,1,0
15tmcBrpSO,0,N/A
62L9B3X,1,1
1l2Nyjq4XF,1,N/A
5hb5c4bfuX,1,0
7Pn2b2W,0,N/A
1RXz06S,0,N/A
7YF8jfexT6,0,N/A
kT6J996,1,0
0mM191W,0,N/A
3kae45n600,1,0
lXE8722,1,N/A
O15uZYt4Cp,0,N/A
Ss7hnMzl44,1,1
c1ywGjF,1,0
BzD0A81,1,0
267509U,0,N/A
7GKyn58,0,N/A
1h67Z8u2FY,0,N/A
ma4SExdWQc,1,N/A
tNuRQ36,0,N/A
u20QlMllUH,1,1
6959S6M,1,1
cEU377jjIB,1,1
66Yts9wPca,0,N/A
7eYu6yxb3b,0,N/A
z3ul46S,0,N/A
LTwj04I,1,1
Lq7TxmM,1,1
qn8o6hZ,1,0
I2cS1mc2Tc,1,1
EmIyIC1,0,N/A
MCTD5x5,1,0
ThOF4vF,0,N/A
6n2CvF3,0,N/A
VLSSx5ohV7,1,0
TfsH4YP,1,1
4ER2RjohIX,0,N/A
1J74Pvt27r,0,N/A
hZ2hq8l2fB,1,1
DG1VWkE,0,N/A
bmxvTVa5Df,1,0
yRZAz9uwU6,1,0
D84FQ11,0,N/A
OqQ3E5zIZt,0,N/A
UG5ndR3,0,N/A
O1b1wp5,1,0
te3nSXN,0,N/A
9JfmFN8,0,N/A
T7IJMP8,0,N/A
qt1A5lZ,1,1
Jg81O8N,0,N/A
Q32bkzA,1,1
t7V30nqRn1,1,0
yXGqlyn1Uu,1,1
VO9cSobV38,0,N/A
N2i37cH,0,N/A
NAw3q2Y,0,N/A
U4oiO24,0,N/A
JdunQ69,1,1
7msC4a8,1,0
y95Sv4R,0,N/A
TrZ2iS2,0,N/A
4vQuremEKd,1,1
PXJe2gY,0,N/A
5Oa0K45,0,N/A
7fT20xZ,1,0
ls79ktT,1,0
k8TR603,1,0
9a9D8LC,1,0
